State,Women Running,Percent Democrat,Percent Republican,state,bins,col,row,txt
Alaska,2,0,100,AK,1-20% Dem,1,1,State: Alaska<br />Women Running: 2<br />Percent Democrat: 0<br />Percent Republican: 100
Alabama,9,44,56,AL,41-60% Dem,8,7,State: Alabama<br />Women Running: 9<br />Percent Democrat: 44<br />Percent Republican: 56
Arkansas,7,43,57,AR,41-60% Dem,6,6,State: Arkansas<br />Women Running: 7<br />Percent Democrat: 43<br />Percent Republican: 57
Arizona,25,60,40,AZ,61-80% Dem,3,6,State: Arizona<br />Women Running: 25<br />Percent Democrat: 60<br />Percent Republican: 40
California,55,82,18,CA,81-100% Dem,2,5,State: California<br />Women Running: 55<br />Percent Democrat: 82<br />Percent Republican: 18
Colorado,15,73,27,CO,61-80% Dem,4,5,State: Colorado<br />Women Running: 15<br />Percent Democrat: 73<br />Percent Republican: 27
Connecticut,12,75,25,CT,61-80% Dem,11,4,State: Connecticut<br />Women Running: 12<br />Percent Democrat: 75<br />Percent Republican: 25
District of Columbia,2,100,0,DC,81-100% Dem,10,6,State: District of Columbia<br />Women Running: 2<br />Percent Democrat: 100<br />Percent Republican: 0
Delaware,1,100,0,DE,81-100% Dem,11,5,State: Delaware<br />Women Running: 1<br />Percent Democrat: 100<br />Percent Republican: 0
Florida,36,58,42,FL,41-60% Dem,10,8,State: Florida<br />Women Running: 36<br />Percent Democrat: 58<br />Percent Republican: 42
Georgia,12,92,8,GA,81-100% Dem,9,7,State: Georgia<br />Women Running: 12<br />Percent Democrat: 92<br />Percent Republican: 8
Hawaii,8,88,12,HI,81-100% Dem,1,8,State: Hawaii<br />Women Running: 8<br />Percent Democrat: 88<br />Percent Republican: 12
Iowa,12,75,25,IA,61-80% Dem,6,4,State: Iowa<br />Women Running: 12<br />Percent Democrat: 75<br />Percent Republican: 25
Idaho,7,14,86,ID,1-20% Dem,3,3,State: Idaho<br />Women Running: 7<br />Percent Democrat: 14<br />Percent Republican: 86
Illinois,29,79,21,IL,61-80% Dem,7,3,State: Illinois<br />Women Running: 29<br />Percent Democrat: 79<br />Percent Republican: 21
Indiana,11,55,45,IN,41-60% Dem,7,4,State: Indiana<br />Women Running: 11<br />Percent Democrat: 55<br />Percent Republican: 45
Kansas,4,75,25,KS,61-80% Dem,5,6,State: Kansas<br />Women Running: 4<br />Percent Democrat: 75<br />Percent Republican: 25
Kentucky,5,100,0,KY,81-100% Dem,7,5,State: Kentucky<br />Women Running: 5<br />Percent Democrat: 100<br />Percent Republican: 0
Louisiana,0,0,0,LA,0 Women Running,6,7,State: Louisiana<br />Women Running: 0<br />Percent Democrat: 0<br />Percent Republican: 0
Massachusetts,18,78,22,MA,61-80% Dem,11,3,State: Massachusetts<br />Women Running: 18<br />Percent Democrat: 78<br />Percent Republican: 22
Maryland,10,70,30,MD,61-80% Dem,10,5,State: Maryland<br />Women Running: 10<br />Percent Democrat: 70<br />Percent Republican: 30
Maine,8,88,12,ME,81-100% Dem,12,1,State: Maine<br />Women Running: 8<br />Percent Democrat: 88<br />Percent Republican: 12
Michigan,15,80,20,MI,81-100% Dem,8,3,State: Michigan<br />Women Running: 15<br />Percent Democrat: 80<br />Percent Republican: 20
Minnesota,19,68,32,MN,61-80% Dem,6,3,State: Minnesota<br />Women Running: 19<br />Percent Democrat: 68<br />Percent Republican: 32
Missouri,14,71,29,MO,61-80% Dem,6,5,State: Missouri<br />Women Running: 14<br />Percent Democrat: 71<br />Percent Republican: 29
Mississippi,4,0,100,MS,1-20% Dem,7,7,State: Mississippi<br />Women Running: 4<br />Percent Democrat: 0<br />Percent Republican: 100
Montana,4,100,0,MT,81-100% Dem,4,3,State: Montana<br />Women Running: 4<br />Percent Democrat: 100<br />Percent Republican: 0
North Carolina,10,80,20,NC,81-100% Dem,8,6,State: North Carolina<br />Women Running: 10<br />Percent Democrat: 80<br />Percent Republican: 20
North Dakota,4,25,75,ND,21-40% Dem,5,3,State: North Dakota<br />Women Running: 4<br />Percent Democrat: 25<br />Percent Republican: 75
Nebraska,5,60,40,NE,61-80% Dem,5,5,State: Nebraska<br />Women Running: 5<br />Percent Democrat: 60<br />Percent Republican: 40
New Hampshire,4,75,25,NH,61-80% Dem,12,2,State: New Hampshire<br />Women Running: 4<br />Percent Democrat: 75<br />Percent Republican: 25
New Jersey,9,78,22,NJ,61-80% Dem,10,4,State: New Jersey<br />Women Running: 9<br />Percent Democrat: 78<br />Percent Republican: 22
New Mexico,8,75,25,NM,61-80% Dem,4,6,State: New Mexico<br />Women Running: 8<br />Percent Democrat: 75<br />Percent Republican: 25
Nevada,14,64,36,NV,61-80% Dem,3,4,State: Nevada<br />Women Running: 14<br />Percent Democrat: 64<br />Percent Republican: 36
New York,29,90,10,NY,81-100% Dem,10,3,State: New York<br />Women Running: 29<br />Percent Democrat: 90<br />Percent Republican: 10
Ohio,21,71,29,OH,61-80% Dem,8,4,State: Ohio<br />Women Running: 21<br />Percent Democrat: 71<br />Percent Republican: 29
Oklahoma,7,29,71,OK,21-40% Dem,5,7,State: Oklahoma<br />Women Running: 7<br />Percent Democrat: 29<br />Percent Republican: 71
Oregon,4,75,25,OR,61-80% Dem,2,4,State: Oregon<br />Women Running: 4<br />Percent Democrat: 75<br />Percent Republican: 25
Pennsylvania,21,86,14,PA,81-100% Dem,9,4,State: Pennsylvania<br />Women Running: 21<br />Percent Democrat: 86<br />Percent Republican: 14
Puerto Rico,0,0,0,PR,0 Women Running,12,8,State: Puerto Rico<br />Women Running: 0<br />Percent Democrat: 0<br />Percent Republican: 0
